    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
 5442,       7294795,         7289365,           9604,     60793,       29725,        461,           ,             ,            ,   118620,      62883,       496
 5443,       7296879,         7291448,           8359,     60819,       29730,        440,           ,             ,            ,   118667,      62928,       484
 5444,       7301274,         7295842,           7925,     60852,       29690,        421,           ,             ,            ,   118684,      62932,       480
 5445,       7303072,         7297639,           8016,     60818,       29686,        501,           ,             ,            ,   118763,      62948,       529
 5446,       7304895,         7299461,           8382,     60843,       29737,        432,           ,             ,            ,   118669,      62894,       480
 5447,       7306888,         7301453,           7914,     60837,       29784,        460,           ,             ,            ,   118777,      62965,       491
 5448,       7311799,         7306363,           8393,     60839,       29818,        420,           ,             ,            ,   118779,      62976,       504
 5449,       7315744,         7310307,           7985,     60868,       29794,        423,           ,             ,            ,   118792,      62959,       483
 5450,       7318648,         7313210,           8058,     60838,       29789,        419,           ,             ,            ,   118827,      63011,       481
 5451,       7320178,         7314739,           8253,     60872,       29751,        463,           ,             ,            ,   118861,      63009,       506
 5452,       7321774,         7316334,           8315,     60880,       29722,        426,           ,             ,            ,   118861,      63036,       478
 5453,       7327011,         7321570,           8071,     60906,       29805,        438,           ,             ,            ,   118932,      63085,       486
 5454,       7330973,         7325531,           8136,     60894,       29809,        498,           ,             ,            ,   118965,      63090,       478
 5455,       7333186,         7327743,           8027,     60936,       29833,        454,           ,             ,            ,   118897,      63005,       514
 5456,       7335786,         7330342,           8418,     60953,       29838,        439,           ,             ,            ,   119045,      63151,       548
 5457,       7338165,         7332720,           8107,     60999,       29819,        455,           ,             ,            ,   119009,      63128,       504
 5458,       7340109,         7334663,           8331,     60977,       29805,        461,           ,             ,            ,   119110,      63167,       533
 5459,       7341218,         7335771,           8488,     60998,       29837,        487,           ,             ,            ,   119085,      63115,       500
 5460,       7342302,         7336854,           8342,     60997,       29811,        462,           ,             ,            ,   119112,      63117,       508
 5461,       7342589,         7337140,           8329,     61015,       29807,        442,           ,             ,            ,   119178,      63170,       497
 5462,       7344478,         7339028,           8222,     61063,       29778,        438,           ,             ,            ,   119136,      63152,       493
 5463,       7347083,         7341632,           8410,     61060,       29799,        484,           ,             ,            ,   119137,      63173,       533
 5464,       7351694,         7346242,           8544,     61062,       29840,        434,           ,             ,            ,   119196,      63190,       486
 5465,       7355225,         7349772,           8399,     61042,       29798,        433,           ,             ,            ,   119177,      63205,       484
 5466,       7356780,         7351326,           8936,     61062,       29875,        429,           ,             ,            ,   119281,      63247,       483
 5467,       7360221,         7354766,          11211,     61044,       29768,        534,           ,             ,            ,   119258,      63181,       584
 5468,       7364638,         7359182,           8798,     61074,       29740,        486,           ,             ,            ,   119220,      63209,       518
 5469,       7368901,         7363444,           8623,     61151,       29851,        458,           ,             ,            ,   119317,      63266,       496
 5470,       7373853,         7368395,           8201,     61154,       29832,        433,           ,             ,            ,   119367,      63283,       483
 5471,       7377342,         7371883,           7960,     61180,       29908,        486,           ,             ,            ,   119323,      63284,       524
 5472,       7380676,         7375216,           8122,     61203,       29912,        419,           ,             ,            ,   119409,      63321,       484
 5473,       7383890,         7378429,           8189,     61142,       29899,        430,           ,             ,            ,   119444,      63311,       484
 5474,       7388350,         7382888,           8582,     61171,       29930,        532,           ,             ,            ,   119431,      63326,       528
 5475,       7389904,         7384441,           8633,     61237,       29914,        465,           ,             ,            ,   119416,      63305,       534
 5476,       7392402,         7386938,           8806,     61227,       29917,        445,           ,             ,            ,   119458,      63350,       509
 5477,       7393144,         7387679,           8542,     61190,       29878,        454,           ,             ,            ,   119499,      63374,       654
 5478,       7393931,         7388465,           8108,     61224,       29905,        437,           ,             ,            ,   119522,      63377,       494
 5479,       7394435,         7388968,           8016,     61197,       29916,        437,           ,             ,            ,   119535,      63385,       487
 5480,       7399237,         7393769,           8046,     61222,       29929,        418,           ,             ,            ,   119588,      63377,       482
 5481,       7401906,         7396437,           8739,     61224,       29909,        627,           ,             ,            ,   119604,      63400,       705
 5482,       7403992,         7398522,          11311,     61227,       29927,        489,           ,             ,            ,   119699,      63449,       504
 5483,       7408611,         7403140,           9604,     61255,       29961,        500,           ,             ,            ,   119663,      63447,       502
 5484,       7411791,         7406319,           9942,     61262,       29987,       1010,           ,             ,            ,   119671,      63436,       502
 5485,       7416264,         7410791,          14206,     61344,       29999,       1038,           ,             ,            ,   119705,      63481,      1322
 5486,       7420015,         7414541,          13243,     61339,       30011,        487,           ,             ,            ,   119721,      63495,       680
 5487,       7420308,         7414833,           8745,     61333,       29991,        496,           ,             ,            ,   119733,      63474,       537
 5488,       7425111,         7419635,           8778,     61341,       30016,        471,           ,             ,            ,   119754,      63518,       501
 5489,       7426494,         7421017,           9803,     61343,       29928,        672,           ,             ,            ,   119724,      63429,       770
 5490,       7430965,         7425487,           9027,     61378,       29995,        476,           ,             ,            ,   119863,      63558,       500
 5491,       7431747,         7426268,           8827,     61383,       30029,        503,           ,             ,            ,   119870,      63555,       498
 5492,       7437024,         7431544,           8514,     61420,       29990,        458,           ,             ,            ,   119803,      63516,       494
 5493,       7442486,         7437005,           8147,     61400,       29980,        476,           ,             ,            ,   119955,      63578,       545
 5494,       7444715,         7439233,           8444,     61404,       30001,        454,           ,             ,            ,   119977,      63631,       546
 5495,       7447912,         7442429,           8255,     61439,       29947,        454,           ,             ,            ,   119997,      63609,       492
 5496,       7449726,         7444242,           8346,     61444,       29938,        420,           ,             ,            ,   120003,      63596,       503
 5497,       7455131,         7449646,           8170,     61493,       30066,        430,           ,             ,            ,   119966,      63590,       487
 5498,       7460038,         7454552,           8195,     61463,       30074,        446,           ,             ,            ,   120094,      63679,       491
 5499,       7463986,         7458499,           8185,     61517,       30076,        470,           ,             ,            ,   120061,      63643,       506
 5500,       7466251,         7460763,           8415,     61543,       30082,        432,           ,             ,            ,   120067,      63673,       489
 5501,       7469904,         7464415,           8243,     61495,       30148,        434,           ,             ,            ,   120139,      63686,       487
 5502,       7471580,         7466090,           8288,     61528,       30162,        499,           ,             ,            ,   120147,      63707,       485
 5503,       7473274,         7467783,           8436,     61479,       30131,        442,           ,             ,            ,   120185,      63685,       523
 5504,       7473946,         7468454,           8523,     61496,       30141,        500,           ,             ,            ,   120157,      63712,       554
 5505,       7475353,         7469860,           8320,     61531,       30244,        455,           ,             ,            ,   120288,      63774,       511
 5506,       7480423,         7474929,           8131,     61598,       30216,        482,           ,             ,            ,   120265,      63756,       523
 5507,       7481155,         7475660,           8372,     61565,       30147,        438,           ,             ,            ,   120265,      63739,       493
 5508,       7485360,         7479864,           8218,     61578,       30171,        444,           ,             ,            ,   120268,      63722,       543
 5509,       7488616,         7483119,           8269,     61593,       30150,        451,           ,             ,            ,   120361,      63779,       497
 5510,       7490660,         7485162,           8188,     61552,       30175,        464,           ,             ,            ,   120320,      63782,       500
 5511,       7494072,         7488573,           9545,     61612,       30171,        518,           ,             ,            ,   120397,      63787,       671
 5512,       7494339,         7488839,           9380,     61634,       30154,        431,           ,             ,            ,   120421,      63774,       496
 5513,       7494613,         7489112,           8365,     61610,       30118,        460,           ,             ,            ,   120510,      63853,       500
 5514,       7498528,         7493026,           8573,     61592,       30133,        435,           ,             ,            ,   120428,      63876,       528
 5515,       7502974,         7497471,           8981,     61652,       30132,        454,           ,             ,            ,   120518,      63882,       497
 5516,       7503488,         7497984,           8444,     61666,       30160,        495,           ,             ,            ,   120494,      63883,       597
 5517,       7506764,         7501259,           9670,     61692,       30173,        468,           ,             ,            ,   120530,      63862,       820
 5518,       7510857,         7505351,           9856,     61688,       30201,        495,           ,             ,            ,   120540,      63907,       498
 5519,       7514896,         7509389,           8259,     61747,       30206,        452,           ,             ,            ,   120580,      63887,       496
 5520,       7519428,         7513920,           8175,     61760,       30228,        513,           ,             ,            ,   120571,      63935,       497
