     n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
  3039,       2317214,         2314185,           2634,     31342,       15493,        217,           ,             ,            ,    61154,      32615,       250
  3040,       2317643,         2314613,           2514,     31354,       15496,        211,           ,             ,            ,    61164,      32585,       271
  3041,       2319429,         2316398,           2617,     31410,       15455,        235,           ,             ,            ,    61183,      32615,       265
  3042,       2320274,         2317242,           2529,     31432,       15503,        220,           ,             ,            ,    61239,      32644,       255
  3043,       2322036,         2319003,           2526,     31436,       15474,        216,           ,             ,            ,    61243,      32640,       253
  3044,       2324376,         2321342,           2708,     31435,       15467,        228,           ,             ,            ,    61240,      32594,       254
  3045,       2325013,         2321978,           2573,     31473,       15519,        235,           ,             ,            ,    61263,      32659,       248
  3046,       2327460,         2324424,           2524,     31436,       15538,        216,           ,             ,            ,    61245,      32626,       251
  3047,       2329499,         2326462,           2573,     31480,       15524,        239,           ,             ,            ,    61345,      32715,       270
  3048,       2331323,         2328285,           2559,     31495,       15543,        229,           ,             ,            ,    61386,      32688,       268
  3049,       2333791,         2330752,           2587,     31460,       15507,        223,           ,             ,            ,    61297,      32668,       256
  3050,       2336040,         2333000,           2597,     31463,       15521,        258,           ,             ,            ,    61379,      32691,       266
  3051,       2338029,         2334988,           2554,     31511,       15520,        244,           ,             ,            ,    61393,      32720,       262
  3052,       2338399,         2335357,           2561,     31553,       15519,        221,           ,             ,            ,    61416,      32694,       251
  3053,       2339257,         2336214,           2582,     31550,       15524,        221,           ,             ,            ,    61475,      32758,       278
  3054,       2342221,         2339177,           2652,     31578,       15570,        250,           ,             ,            ,    61465,      32751,       284
  3055,       2344685,         2341640,           2556,     31589,       15594,        223,           ,             ,            ,    61515,      32788,       282
  3056,       2347630,         2344584,           2571,     31604,       15594,        210,           ,             ,            ,    61506,      32741,       255
  3057,       2349649,         2346602,           2607,     31626,       15607,        219,           ,             ,            ,    61529,      32769,       252
  3058,       2350974,         2347926,           2613,     31618,       15567,        218,           ,             ,            ,    61512,      32751,       253
  3059,       2351499,         2348450,           2588,     31666,       15574,        211,           ,             ,            ,    61550,      32780,       250
  3060,       2351559,         2348509,           2635,     31661,       15579,        217,           ,             ,            ,    61563,      32783,       257
  3061,       2354343,         2351292,           2583,     31658,       15632,        222,           ,             ,            ,    61684,      32890,       257
  3062,       2357327,         2354275,           2579,     31654,       15624,        214,           ,             ,            ,    61609,      32795,       255
  3063,       2357510,         2354457,           2632,     31692,       15623,        260,           ,             ,            ,    61649,      32827,       262
  3064,       2358352,         2355298,           2591,     31709,       15625,        246,           ,             ,            ,    61680,      32881,       281
  3065,       2359964,         2356909,           2636,     31701,       15639,        231,           ,             ,            ,    61734,      32876,       262
  3066,       2361208,         2358152,           2574,     31739,       15663,        223,           ,             ,            ,    61751,      32916,       252
  3067,       2363466,         2360409,           2561,     31701,       15634,        218,           ,             ,            ,    61727,      32865,       251
  3068,       2363623,         2360565,           2563,     31701,       15644,        229,           ,             ,            ,    61700,      32825,       270
  3069,       2365131,         2362072,           2586,     31784,       15668,        220,           ,             ,            ,    61810,      32929,       256
  3070,       2366920,         2363860,           2681,     31795,       15665,        228,           ,             ,            ,    61856,      32953,       267
  3071,       2369381,         2366320,           2723,     31784,       15638,        246,           ,             ,            ,    61860,      32952,       265
  3072,       2370653,         2367591,           2570,     31797,       15648,        226,           ,             ,            ,    61904,      32962,       261
  3073,       2371551,         2368488,           2665,     31787,       15652,        228,           ,             ,            ,    61930,      33000,       291
  3074,       2373137,         2370073,           2590,     31797,       15694,        223,           ,             ,            ,    61920,      32984,       258
  3075,       2375709,         2372644,           2578,     31750,       15630,        217,           ,             ,            ,    61984,      33003,       257
  3076,       2376848,         2373782,           2665,     31789,       15657,        211,           ,             ,            ,    61963,      33007,       253
  3077,       2377395,         2374328,           2579,     31837,       15662,        216,           ,             ,            ,    62015,      33055,       253
  3078,       2377630,         2374562,           2611,     31801,       15669,        212,           ,             ,            ,    62031,      33026,       254
  3079,       2380076,         2377007,           2681,     31872,       15674,        212,           ,             ,            ,    61993,      33035,       253
  3080,       2380968,         2377898,           2579,     31888,       15670,        220,           ,             ,            ,    62051,      33040,       258
  3081,       2383199,         2380128,           2601,     31869,       15668,        227,           ,             ,            ,    62118,      33112,       258
  3082,       2385295,         2382223,           2585,     31844,       15702,        255,           ,             ,            ,    62132,      33103,       265
  3083,       2386707,         2383634,           2590,     31906,       15662,        232,           ,             ,            ,    62122,      33074,       261
  3084,       2387072,         2383998,           2696,     31909,       15656,        260,           ,             ,            ,    62138,      33080,       260
  3085,       2387734,         2384659,           2614,     31937,       15671,        236,           ,             ,            ,    62208,      33148,       264
  3086,       2390146,         2387070,           2630,     31948,       15676,        268,           ,             ,            ,    62207,      33139,       267
  3087,       2392335,         2389258,           2629,     31900,       15756,        230,           ,             ,            ,    62237,      33134,       259
  3088,       2394804,         2391726,           2594,     31909,       15765,        216,           ,             ,            ,    62286,      33188,       257
  3089,       2396518,         2393439,           2662,     31950,       15738,        227,           ,             ,            ,    62268,      33178,       261
  3090,       2398888,         2395808,           2600,     31976,       15705,        221,           ,             ,            ,    62298,      33197,       261
  3091,       2399130,         2396049,           2604,     31961,       15752,        220,           ,             ,            ,    62288,      33180,       260
  3092,       2401214,         2398132,           2668,     31982,       15747,        218,           ,             ,            ,    62363,      33207,       261
  3093,       2404131,         2401048,           2608,     32046,       15767,        221,           ,             ,            ,    62356,      33196,       260
  3094,       2405761,         2402677,           2695,     32030,       15832,        220,           ,             ,            ,    62381,      33255,       256
  3095,       2408519,         2405434,           2689,     32052,       15799,        216,           ,             ,            ,    62388,      33226,       256
  3096,       2411595,         2408509,           2618,     32064,       15802,        210,           ,             ,            ,    62434,      33262,       256
  3097,       2412821,         2409734,           2693,     32067,       15750,        223,           ,             ,            ,    62445,      33239,       252
  3098,       2414806,         2411718,           2641,     32092,       15749,        240,           ,             ,            ,    62508,      33254,       266
  3099,       2415282,         2412193,           2699,     32074,       15807,        237,           ,             ,            ,    62553,      33337,       275
  3100,       2417841,         2414751,           2640,     32083,       15810,        223,           ,             ,            ,    62482,      33285,       261
  3101,       2419894,         2416803,           2642,     32103,       15763,        220,           ,             ,            ,    62527,      33299,       312
